ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,activity_rank,generic,contract_change,adj_factor,adj_close
P2001.DCE,20190116,,4710.0,4690.0,4704.0,4560.0,4676.0,4676.0,-34.0,-34.0,1272.0,5948.71,930.0,930.0,P,20190116,20200115,1.0,Pv1,False,1.0,4676.0
P2001.DCE,20190117,4676.0,4676.0,4668.0,4674.0,4650.0,4658.0,4660.0,-18.0,-16.0,178.0,829.69,962.0,32.0,P,20190116,20200115,1.0,Pv1,False,1.0,4658.0
P2001.DCE,20190118,4658.0,4660.0,4672.0,4740.0,4672.0,4740.0,4700.0,80.0,40.0,262.0,1231.5,876.0,-86.0,P,20190116,20200115,1.0,Pv1,False,1.0,4740.0
P2001.DCE,20190121,4740.0,4700.0,4752.0,4856.0,4752.0,4846.0,4808.0,146.0,108.0,330.0,1587.2,952.0,76.0,P,20190116,20200115,1.0,Pv1,False,1.0,4846.0
P2001.DCE,20190122,4846.0,4808.0,4852.0,4874.0,4834.0,4838.0,4850.0,30.0,42.0,162.0,785.74,998.0,46.0,P,20190116,20200115,1.0,Pv1,False,1.0,4838.0
P2001.DCE,20190123,4838.0,4850.0,4846.0,4882.0,4824.0,4850.0,4856.0,0.0,6.0,180.0,874.2,1008.0,10.0,P,20190116,20200115,1.0,Pv1,False,1.0,4850.0
P2001.DCE,20190124,4850.0,4856.0,4868.0,4872.0,4848.0,4858.0,4858.0,2.0,2.0,170.0,826.09,1038.0,30.0,P,20190116,20200115,1.0,Pv1,False,1.0,4858.0
P2001.DCE,20190125,4858.0,4858.0,4858.0,4874.0,4840.0,4862.0,4862.0,4.0,4.0,264.0,1283.63,1104.0,66.0,P,20190116,20200115,1.0,Pv1,False,1.0,4862.0
P2001.DCE,20190128,4862.0,4862.0,4854.0,4930.0,4854.0,4924.0,4888.0,62.0,26.0,260.0,1271.2,1122.0,18.0,P,20190116,20200115,1.0,Pv1,False,1.0,4924.0
P2001.DCE,20190129,4924.0,4888.0,4922.0,4926.0,4898.0,4922.0,4910.0,34.0,22.0,238.0,1168.8,1224.0,102.0,P,20190116,20200115,1.0,Pv1,False,1.0,4922.0
P2001.DCE,20190130,4922.0,4910.0,4916.0,4920.0,4870.0,4896.0,4886.0,-14.0,-24.0,744.0,3636.55,1388.0,164.0,P,20190116,20200115,1.0,Pv1,False,1.0,4896.0
P2001.DCE,20190131,4896.0,4886.0,4902.0,4902.0,4858.0,4870.0,4874.0,-16.0,-12.0,134.0,653.33,1354.0,-34.0,P,20190116,20200115,1.0,Pv1,False,1.0,4870.0
P2001.DCE,20190201,4870.0,4874.0,4878.0,4878.0,4842.0,4856.0,4862.0,-18.0,-12.0,330.0,1604.89,1308.0,-46.0,P,20190116,20200115,1.0,Pv1,False,1.0,4856.0
P2001.DCE,20190211,4856.0,4862.0,4888.0,4914.0,4842.0,4858.0,4860.0,-4.0,-2.0,960.0,4665.964,1366.0,58.0,P,20190116,20200115,1.0,Pv1,False,1.0,4858.0
P2001.DCE,20190212,4858.0,4860.0,4824.0,4868.0,4818.0,4852.0,4852.0,-8.0,-8.0,866.0,4203.24,1894.0,528.0,P,20190116,20200115,1.0,Pv1,False,1.0,4852.0
P2001.DCE,20190213,4852.0,4852.0,4864.0,4874.0,4856.0,4862.0,4864.0,10.0,12.0,146.0,710.26,1918.0,24.0,P,20190116,20200115,1.0,Pv1,False,1.0,4862.0
P2001.DCE,20190214,4862.0,4864.0,4854.0,4900.0,4850.0,4878.0,4878.0,14.0,14.0,1210.0,5904.33,2510.0,592.0,P,20190116,20200115,1.0,Pv1,False,1.0,4878.0
P2001.DCE,20190215,4878.0,4878.0,4888.0,4890.0,4854.0,4864.0,4864.0,-14.0,-14.0,520.0,2529.85,2808.0,298.0,P,20190116,20200115,1.0,Pv1,False,1.0,4864.0
P2001.DCE,20190218,4864.0,4864.0,4872.0,4894.0,4856.0,4856.0,4866.0,-8.0,2.0,596.0,2900.61,3012.0,204.0,P,20190116,20200115,1.0,Pv1,False,1.0,4856.0
P2001.DCE,20190219,4856.0,4866.0,4876.0,4938.0,4876.0,4922.0,4912.0,56.0,46.0,942.0,4627.42,3288.0,276.0,P,20190116,20200115,1.0,Pv1,False,1.0,4922.0
P2001.DCE,20190220,4922.0,4912.0,4880.0,4880.0,4752.0,4812.0,4824.0,-100.0,-88.0,16972.0,81889.92,13320.0,10032.0,P,20190116,20200115,1.0,Pv1,False,1.0,4812.0
P2001.DCE,20190221,4812.0,4824.0,4806.0,4820.0,4780.0,4802.0,4802.0,-22.0,-22.0,2700.0,12966.09,13906.0,586.0,P,20190116,20200115,1.0,Pv1,False,1.0,4802.0
P2001.DCE,20190222,4802.0,4802.0,4820.0,4820.0,4798.0,4808.0,4814.0,6.0,12.0,2134.0,10276.68,15168.0,1262.0,P,20190116,20200115,2.0,Pv2,False,1.0,4808.0
