time,bid_price,ask_price,bid_size,ask_size
2023-11-17 09:00:00,179.8,179.8,126900.0,139800.0
2023-11-17 09:05:00,174.1,174.1,152700.0,143400.0
2023-11-17 09:10:00,173.3,173.3,234600.0,242500.0
2023-11-17 09:15:00,173.8,173.8,581300.0,581300.0
2023-11-17 09:20:00,175.2,176.0,500.0,300.0
2023-11-17 09:25:00,,,,
2023-11-17 09:30:00,174.2,174.3,2400.0,5700.0
2023-11-17 09:35:00,174.6,174.7,2600.0,6400.0
2023-11-17 09:40:00,175.0,175.4,800.0,17400.0
2023-11-17 09:45:00,175.1,175.2,2500.0,6800.0
2023-11-17 09:50:00,176.0,176.2,10200.0,9400.0
2023-11-17 09:55:00,177.7,178.0,3300.0,38500.0
2023-11-17 10:00:00,177.3,177.4,400.0,6400.0
2023-11-17 10:05:00,178.7,178.9,17300.0,10900.0
2023-11-17 10:10:00,180.2,180.3,4400.0,700.0
2023-11-17 10:15:00,179.6,179.8,22400.0,12700.0
2023-11-17 10:20:00,179.3,179.4,12100.0,6400.0
2023-11-17 10:25:00,179.8,179.9,2600.0,10100.0
2023-11-17 10:30:00,179.8,179.9,1000.0,23700.0
2023-11-17 10:35:00,179.8,179.9,7500.0,4100.0
2023-11-17 10:40:00,180.4,180.5,8500.0,61700.0
2023-11-17 10:45:00,182.3,182.4,20800.0,13700.0
2023-11-17 10:50:00,182.3,182.4,9100.0,300.0
2023-11-17 10:55:00,182.1,182.2,36400.0,13100.0
2023-11-17 11:00:00,182.8,182.9,3300.0,37000.0
2023-11-17 11:05:00,184.1,184.2,300.0,11500.0
2023-11-17 11:10:00,184.2,184.3,6300.0,1500.0
2023-11-17 11:15:00,183.3,183.4,8700.0,7400.0
2023-11-17 11:20:00,183.9,184.0,7500.0,4200.0
2023-11-17 11:25:00,183.8,183.9,20300.0,15200.0
2023-11-17 11:30:00,184.0,184.1,5800.0,7400.0
2023-11-17 11:35:00,184.1,184.2,4800.0,15900.0
2023-11-17 11:40:00,184.0,184.1,13100.0,7800.0
2023-11-17 11:45:00,183.9,184.0,13700.0,30400.0
2023-11-17 11:50:00,184.1,184.2,31700.0,35300.0
2023-11-17 11:55:00,184.6,184.8,3300.0,5900.0
2023-11-17 12:00:00,184.6,184.8,3200.0,5900.0
2023-11-17 12:05:00,,,,
2023-11-17 12:10:00,,,,
2023-11-17 12:15:00,,,,
2023-11-17 12:20:00,,,,
2023-11-17 12:25:00,,,,
2023-11-17 12:30:00,184.6,184.8,2200.0,4800.0
2023-11-17 12:35:00,,,,
2023-11-17 12:40:00,,,,
2023-11-17 12:45:00,,,,
2023-11-17 12:50:00,,,,
2023-11-17 12:55:00,184.6,184.8,2200.0,4600.0
2023-11-17 13:00:00,184.2,184.3,4000.0,2900.0
2023-11-17 13:05:00,183.8,183.9,1500.0,8400.0
2023-11-17 13:10:00,183.5,183.6,2400.0,14500.0
2023-11-17 13:15:00,183.3,183.4,32800.0,8300.0
2023-11-17 13:20:00,182.1,182.2,2500.0,11200.0
2023-11-17 13:25:00,181.2,181.3,100.0,13600.0
2023-11-17 13:30:00,181.6,181.7,9200.0,7000.0
2023-11-17 13:35:00,182.2,182.3,8400.0,7600.0
2023-11-17 13:40:00,182.0,182.1,11900.0,29600.0
2023-11-17 13:45:00,182.6,182.7,4400.0,13100.0
2023-11-17 13:50:00,182.7,182.8,10000.0,4900.0
2023-11-17 13:55:00,182.5,182.7,14300.0,6100.0
2023-11-17 14:00:00,182.5,182.6,6300.0,10100.0
2023-11-17 14:05:00,182.8,182.9,600.0,19000.0
2023-11-17 14:10:00,183.1,183.2,9600.0,10700.0
2023-11-17 14:15:00,183.0,183.1,5900.0,15200.0
2023-11-17 14:20:00,183.6,183.7,9800.0,17100.0
2023-11-17 14:25:00,183.3,183.4,7500.0,24400.0
2023-11-17 14:30:00,182.9,183.0,9600.0,17600.0
2023-11-17 14:35:00,182.3,182.4,15900.0,36400.0
2023-11-17 14:40:00,182.7,182.8,12200.0,8800.0
2023-11-17 14:45:00,182.8,182.9,8700.0,4200.0
2023-11-17 14:50:00,183.0,183.1,1400.0,12600.0
2023-11-17 14:55:00,183.0,183.1,11300.0,28900.0
2023-11-17 15:00:00,182.7,182.8,7500.0,3300.0
2023-11-17 15:05:00,182.7,182.8,11800.0,7300.0
2023-11-17 15:10:00,182.5,182.8,11900.0,7200.0
2023-11-17 15:15:00,182.4,182.5,6300.0,7700.0
2023-11-17 15:20:00,182.0,182.1,2100.0,9100.0
2023-11-17 15:25:00,182.0,182.1,16600.0,16000.0
2023-11-17 15:30:00,182.1,182.2,13900.0,13800.0
2023-11-17 15:35:00,182.2,182.3,10300.0,14300.0
2023-11-17 15:40:00,181.9,182.0,29700.0,28500.0
2023-11-17 15:45:00,182.6,182.7,16700.0,16800.0
2023-11-17 15:50:00,182.2,182.3,9500.0,5700.0
2023-11-17 15:55:00,182.0,182.1,33200.0,5400.0
2023-11-17 16:00:00,180.0,180.0,8283100.0,8050600.0
2023-11-17 16:05:00,181.3,181.6,162600.0,29800.0
