time,price,volume
09:20:43.172,175.2,100.0
09:20:43.172,175.2,400.0
09:20:43.172,175.2,100.0
09:20:43.172,175.2,100.0
09:20:43.172,175.2,300.0
09:20:43.172,175.2,100.0
09:20:43.172,175.2,100.0
09:20:43.172,175.2,100.0
09:20:43.172,175.2,100.0
09:20:43.172,175.2,800.0
09:20:43.172,175.2,500.0
09:20:43.172,175.2,300.0
09:20:43.172,175.2,400.0
09:20:43.172,175.2,1100.0
09:20:43.172,175.2,500.0
09:20:43.172,175.2,300.0
09:20:43.172,175.2,1300.0
09:20:43.173,175.2,100.0
09:20:43.173,175.2,1300.0
09:20:43.173,175.2,1600.0
09:20:43.173,175.2,400.0
09:20:43.173,175.2,200.0
09:20:43.173,175.2,900.0
09:20:43.173,175.2,500.0
09:20:43.173,175.2,1000.0
09:20:43.173,175.2,500.0
09:20:43.173,175.2,5800.0
09:20:43.173,175.2,6800.0
09:20:43.173,175.2,1200.0
09:20:43.173,175.2,500.0
09:20:43.173,175.2,100.0
09:20:43.177,175.2,100.0
09:20:43.177,175.2,900.0
09:20:43.177,175.2,100.0
09:20:43.177,175.2,100.0
09:20:43.177,175.2,100.0
09:20:43.177,175.2,700.0
09:20:43.177,175.2,100.0
09:20:43.177,175.2,3900.0
09:20:43.177,175.2,400.0
09:20:43.177,175.2,2900.0
09:20:43.177,175.2,1200.0
09:20:43.177,175.2,1800.0
09:20:43.177,175.2,1700.0
09:20:43.177,175.2,5400.0
09:20:43.177,175.2,200.0
09:20:43.177,175.2,100.0
09:20:43.177,175.2,400.0
09:20:43.178,175.2,11500.0
09:20:43.178,175.2,200.0
09:20:43.178,175.2,500.0
09:20:43.178,175.2,100.0
09:20:43.178,175.2,2700.0
09:20:43.178,175.2,200.0
09:20:43.178,175.2,11500.0
09:20:43.178,175.2,300.0
09:20:43.178,175.2,100.0
09:20:43.178,175.2,200.0
09:20:43.178,175.2,100.0
09:20:43.178,175.2,100.0
09:20:43.178,175.2,100.0
09:20:43.178,175.2,400.0
09:20:43.181,175.2,100.0
09:20:43.181,175.2,100.0
09:20:43.181,175.2,200.0
09:20:43.181,175.2,300.0
09:20:43.181,175.2,200.0
09:20:43.181,175.2,6700.0
09:20:43.181,175.2,4000.0
09:20:43.181,175.2,8700.0
09:20:43.181,175.2,2600.0
09:20:43.181,175.2,1800.0
09:20:43.181,175.2,300.0
09:20:43.181,175.2,3400.0
09:20:43.181,175.2,600.0
09:20:43.181,175.2,200.0
09:20:43.181,175.2,5200.0
09:20:43.181,175.2,200.0
09:20:43.181,175.2,100.0
09:20:43.181,175.2,100.0
09:20:43.181,175.2,100.0
09:20:43.181,175.2,400.0
09:20:43.181,175.2,4000.0
09:20:43.181,175.2,1200.0
09:20:43.181,175.2,500.0
09:20:43.181,175.2,300.0
09:20:43.181,175.2,100.0
09:20:43.181,175.2,300.0
09:20:43.181,175.2,200.0
09:20:43.181,175.2,200.0
09:20:43.181,175.2,100.0
09:20:43.181,175.2,400.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,3200.0
09:20:43.186,175.2,500.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,200.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,200.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,3200.0
09:20:43.186,175.2,200.0
09:20:43.186,175.2,300.0
09:20:43.186,175.2,3000.0
09:20:43.186,175.2,300.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,2500.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,1600.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,300.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.186,175.2,100.0
09:20:43.187,175.2,400.0
09:20:43.187,175.2,900.0
09:20:43.187,175.2,100.0
09:20:43.187,175.2,200.0
09:20:43.187,175.2,5000.0
